"icpsr","bioname","state_abbrev","party_code"
42102,"TUBERVILLE, Thomas Hawley (Tommy)","AL",200
42300,"BRITT, Katie Elizabeth","AL",200
40300,"MURKOWSKI, Lisa","AK",200
41500,"SULLIVAN, Daniel Scott","AK",200
41905,"KELLY, Mark Edward","AZ",100
91300,"SINEMA, Kyrsten","AZ",328
20101,"BOOZMAN, John","AR",200
21301,"COTTON, Tom","AR",200
20104,"SCHIFF, Adam","CA",100
42104,"PADILLA, Alejandro (Alex)","CA",100
42305,"BUTLER, Laphonza Romanique","CA",100
49300,"FEINSTEIN, Dianne","CA",100
40910,"BENNET, Michael F.","CO",100
42101,"HICKENLOOPER, John Wright","CO",100
20707,"MURPHY, Christopher","CT",100
41101,"BLUMENTHAL, Richard","CT",100
15015,"CARPER, Thomas Richard","DE",100
40916,"COONS, Christopher A.","DE",100
41102,"RUBIO, Marco","FL",200
41903,"SCOTT, Richard Lynn (Rick)","FL",200
42103,"OSSOFF, Thomas Jonathan (Jon)","GA",100
42105,"WARNOCK, Raphael Gamaliel","GA",100
20713,"HIRONO, Mazie","HI",100
41112,"SCHATZ, Brian Emanuel","HI",100
29345,"CRAPO, Michael Dean","ID",200
40902,"RISCH, James","ID",200
15021,"DURBIN, Richard Joseph","IL",100
21325,"DUCKWORTH, Tammy","IL",100
21133,"YOUNG, Todd","IN",200
41900,"BRAUN, Michael","IN",200
14226,"GRASSLEY, Charles Ernest","IA",200
41502,"ERNST, Joni","IA",200
21734,"MARSHALL, Roger Wayne","KS",200
29722,"MORAN, Jerry","KS",200
14921,"McCONNELL, Addison Mitchell (Mitch)","KY",200
41104,"PAUL, Rand","KY",200
20919,"CASSIDY, Bill","LA",200
41703,"KENNEDY, John Neely","LA",200
41300,"KING, Angus Stanley, Jr.","ME",328
49703,"COLLINS, Susan Margaret","ME",200
15408,"CARDIN, Benjamin Louis","MD",100
20330,"VAN HOLLEN, Christopher","MD",100
14435,"MARKEY, Edward John","MA",100
41301,"WARREN, Elizabeth","MA",100
20923,"PETERS, Gary C.","MI",100
29732,"STABENOW, Deborah Ann","MI",100
40700,"KLOBUCHAR, Amy","MN",100
41706,"SMITH, Tina","MN",100
29534,"WICKER, Roger F.","MS",200
41707,"HYDE-SMITH, Cindy","MS",200
41901,"HAWLEY, Joshua David","MO",200
42303,"SCHMITT, Eric Stephen","MO",200
21338,"DAINES, Steve","MT",200
40702,"TESTER, Jon","MT",100
41302,"FISCHER, Debra (Deb)","NE",200
42302,"RICKETTS, John Peter (Pete)","NE",200
21743,"ROSEN, Jacklyn Sheryl","NV",100
41700,"CORTEZ MASTO, Catherine Marie","NV",100
40906,"SHAHEEN, Jeanne","NH",100
41702,"HASSAN, Margaret (Maggie)","NH",100
21937,"KIM, Andy","NJ",100
29373,"MENENDEZ, Robert","NJ",100
41308,"BOOKER, Cory Anthony","NJ",100
42306,"HELMY, George S.","NJ",100
20930,"HEINRICH, Martin","NM",100
20932,"LUJÁN, Ben Ray","NM",100
14858,"SCHUMER, Charles Ellis (Chuck)","NY",100
20735,"GILLIBRAND, Kirsten","NY",100
21708,"BUDD, Theodore Paul","NC",200
41504,"TILLIS, Thomas Roland (Thom)","NC",200
21350,"CRAMER, Kevin","ND",200
41107,"HOEVEN, John","ND",200
29389,"BROWN, Sherrod","OH",100
42304,"VANCE, James David","OH",200
21166,"LANKFORD, James","OK",200
21355,"MULLIN, Markwayne","OK",200
14871,"WYDEN, Ronald Lee","OR",100
40908,"MERKLEY, Jeff","OR",100
40703,"CASEY, Robert (Bob), Jr.","PA",100
42301,"FETTERMAN, John Karl","PA",100
29142,"REED, John F. (Jack)","RI",100
40704,"WHITEHOUSE, Sheldon","RI",100
21173,"SCOTT, Tim","SC",200
29566,"GRAHAM, Lindsey O.","SC",200
29754,"THUNE, John","SD",200
41505,"ROUNDS, Marion Michael (Mike)","SD",200
20351,"BLACKBURN, Marsha","TN",200
42100,"HAGERTY, William Francis (Bill)","TN",200
40305,"CORNYN, John","TX",200
41304,"CRUZ, Rafael Edward (Ted)","TX",200
41110,"LEE, Mike","UT",200
41902,"ROMNEY, Willard Mitt (Mitt)","UT",200
20750,"WELCH, Peter","VT",100
29147,"SANDERS, Bernard","VT",328
40909,"WARNER, Mark","VA",100
41305,"KAINE, Timothy Michael (Tim)","VA",100
39310,"CANTWELL, Maria E.","WA",100
49308,"MURRAY, Patty","WA",100
20146,"CAPITO, Shelley Moore","WV",200
40915,"MANCHIN, Joe, III","WV",100
29940,"BALDWIN, Tammy","WI",100
41111,"JOHNSON, Ron","WI",200
20953,"LUMMIS, Cynthia M.","WY",200
40707,"BARRASSO, John A.","WY",200
