"cow_abb","cow_code","year","cow_name","cy_case_id","diprel_jan1","diprel_dec31","diprel_midyr","num_dip_change","dip_change_date","dip_change_date2","full_relations","num_dip_dispute","dip_dispute_date1","dip_dispute_date2","num_amb_exit","num_amb_enter","amb_jan1","amb_jan_enter_date","amb_jan_exit_date","amb_jan_career","amb_midyr","amb_midyr_enter_date","amb_midyr_exit_date","amb_midyr_career","amb_midyr_tenure","amb_dec31","amb_dec_enter_date","amb_dec_exit_date","amb_dec_career","vacancy","vacancy_code","vacancy_code2","before_first_amb","vac1_dispute_during","vac2_dispute_during","vac1_last_dispute_before","vac2_last_dispute_before","vac1_onset","vac2_onset","vac1_end","vac2_end","vac1_end_diprel_during","vac2_end_diprel_during","vac1_dispute_to_onset","vac2_dispute_to_onset","vac1_duration","vac2_duration","ineligible","foreign_amb_appt","foreign_amb_endyr_cda","foreign_amb_endyr_tenure_withNA","foreign_amb_endyr_status","foreign_amb_endyr_tenure","gdp_const","population","govt_exp","polity","mil_const","econ_const","econ_smooth","ideal_diff","ideal_diff_imp","import_from_US","export_to_US","import_from_US_const","export_to_US_const","ally","capabilities","capratio","gatt_join","wto_join","gatt_member","wto_member","gatt_or_wto_member","fta","start_mid_US","mid_start_count","sotu_mention","visit","pop_imputed","gdp_imputed","polity_imputed","imp_imputed","exp_imputed","idealdiff_imputed","mil_imputed","econ_imputed","govtexp_imputed","turnover","logimp","logexp","logimp_imputed","logexp_imputed","loggdp","logpop","loggdp_imputed","logpop_imputed","logmil","logecon","logmil_imputed","logecon_imputed","lag3num_amb_enter","lag3enter","jan_sideacc","lag3jan_sideacc","lag3dec_car","lag3midyr_car","lag3ineligible","lag1famb_appt","lag1famb_tenure","lag1famb_status","lag4famb_appt","lag4famb_tenure","lag4famb_status","lag4vac","lag5vac","lag6vac","totalvac","lag1vac","lag2vac","lag3vac","recentvac","totalvac2","totalvac3","recentvac2","recentvac3","lag1logimp","lag1logimp_imputed","lag2logimp","lag2logimp_imputed","lag3logimp","lag3logimp_imputed","lag4logimp","lag4logimp_imputed","lag5logimp","lag5logimp_imputed","lag6logimp","lag6logimp_imputed","lead1logimp","lead1logimp_imputed","lead1startmid","lag1startmid","lag2startmid","lag3startmid","lag4startmid","lag5startmid","lag6startmid","lag1logexp","lag1logexp_imputed","lag4logexp","lag4logexp_imputed","lag1logmil","lag1logmil_imputed","lag4logmil","lag4logmil_imputed","lag1logecon","lag1logecon_imputed","lag4logecon","lag4logecon_imputed","lag1loggdp","lag1loggdp_imputed","lag4loggdp","lag4loggdp_imputed","lag1logpop","lag1logpop_imputed","lag4logpop","lag4logpop_imputed","lag1govtexp","lag1govtexp_imputed","lag4govtexp","lag4govtexp_imputed","lag1idealdiff","lag1idealdiff_imputed","lag4idealdiff","lag4idealdiff_imputed","lag1polity","lag1polity_imputed","lag4polity","lag4polity_imputed","lag1cap","lag4cap","lag1capratio","lag4capratio","lag1ally","lag4ally","lag1fta","lag4fta","lag1gattwto","lag4gattwto","lag4visit","lag4sotu","lag1deltapolity","lag4deltapolity","lag1deltapolity_imputed","lag4deltapolity_imputed","prior_car","recent_car","prior_pol","recent_pol","lag3enter_car","lag3enter_pol"
"AFG",700,1960,"Afghanistan","AFG_1960",1,1,NA,0,NA,NA,1,0,NA,NA,0,0,"Henry Alfred Byroade","1959-03-21","1962-01-19",1,NA,NA,NA,NA,NA,"Henry Alfred Byroade","1959-03-21","1962-01-19",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,NA,8996973,NA,-10,1262493,66280873,66280873,2.444,NA,10,22,62.8335144271399,138.233731739708,0,0.0013066,0.00606469065250427,0,0,0,0,0,0,0,0,0,0,8996973,8299558796.41114,-10,62.8335144271399,138.233731739708,2.444,1262493,66280873,14.3428820149693,0,4.15627835692726,4.93615404426048,4.15627835692726,4.93615404426048,NA,16.0123987453944,22.8394681932772,16.0123987453944,14.0485996876451,18.0094119369173,14.0485996876451,18.0094119369173,0,0,0,0,1,NA,0,0,1,0,1,0,0,0.178082191780822,0,0,0.178082191780822,0.128767123287671,0,0,0.128767123287671,0.0317132670294615,0.00564756810113698,0.0165809720397823,0.00213508407087607,4.47276270164981,4.47276270164981,4.27909180922659,4.27909180922659,4.10543989327915,4.10543989327915,4.24468071615782,4.24468071615782,0,0,0,0,4.77973035772161,4.77973035772161,0,0,0,0,0,0,0,4.75027025331473,4.75027025331473,4.879718647225,4.879718647225,14.7556275760569,14.7556275760569,0,0,18.9677546213339,18.9677546213339,18.6607621642347,18.6607621642347,NA,23.0022000793384,NA,23.3054970747132,NA,15.8942023225651,NA,16.4558242919961,NA,19.8563938136615,NA,14.6581624536119,2.288,2.288,1.899,1.899,-10,-10,-10,-10,0.0012464,0.0011591,0.00544363388766915,0.00444757721962536,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"AFG",700,1961,"Afghanistan","AFG_1961",1,1,NA,0,NA,NA,1,0,NA,NA,0,0,"Henry Alfred Byroade","1959-03-21","1962-01-19",1,NA,NA,NA,NA,NA,"Henry Alfred Byroade","1959-03-21","1962-01-19",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,3,NA,9169410,NA,-10,3113314,196138810,196138810,2.466,NA,19,13,118.07223880597,80.7862686567164,0,0.0017574,0.0083425545762287,0,0,0,0,0,0,0,0,0,0,9169410,11730264747.3323,-10,118.07223880597,80.7862686567164,2.466,3113314,196138810,14.0010284127127,0,4.77973035772161,4.40410936468551,4.77973035772161,4.40410936468551,NA,16.0313835019228,23.1854380694622,16.0313835019228,14.9511986328686,19.0943331859135,14.9511986328686,19.0943331859135,0,0,0,0,1,NA,0,0,2,0,0,1,0,0,0.178082191780822,0,0.178082191780822,0,0.128767123287671,0,0.128767123287671,0.0317132670294615,0.00564756810113698,0.0165809720397823,0.00213508407087607,4.15627835692726,4.15627835692726,4.47276270164981,4.47276270164981,4.27909180922659,4.27909180922659,4.10543989327915,4.10543989327915,4.24468071615782,4.24468071615782,0,0,3.78262701843114,3.78262701843114,0,0,0,0,0,0,0,4.93615404426048,4.93615404426048,4.98947021041533,4.98947021041533,14.0485996876451,14.0485996876451,0,0,18.0094119369173,18.0094119369173,18.7617129608995,18.7617129608995,NA,22.8394681932772,NA,23.197671969853,16.0123987453944,16.0123987453944,NA,15.8184998796814,NA,14.3428820149693,NA,15.1094648964832,2.444,2.444,1.683,1.683,-10,-10,-10,-10,0.0013066,0.001169,0.00606469065250427,0.00458344017571553,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"AFG",700,1962,"Afghanistan","AFG_1962",1,1,NA,0,NA,NA,1,0,NA,NA,1,1,"Henry Alfred Byroade","1959-03-21","1962-01-19",1,NA,NA,NA,NA,NA,"John Milton Steeves","1962-03-20","1966-07-21",1,0.167123287671233,"AFG1962",NA,0,0,NA,NA,NA,"1962-01-19",NA,"1962-03-20",NA,0,NA,NA,NA,60,NA,0,0,0,4,0,4,NA,9351441,NA,-10,6163769,242858660,242858660,2.572,NA,7,16,42.9312986094744,98.1286825359416,0,0.0016605,0.00791048032646155,0,0,0,0,0,0,0,0,0,0,9351441,12764352489.2278,-10,42.9312986094744,98.1286825359416,2.572,6163769,242858660,13.8468885944583,1,3.78262701843114,4.59641882969059,3.78262701843114,4.59641882969059,NA,16.051041007037,23.2699221608717,16.051041007037,15.6341991612931,19.3079901901102,15.6341991612931,19.3079901901102,1,1,0,0,1,NA,0,0,3,0,1,0,0,0,0,0.178082191780822,0.178082191780822,0,0,0.128767123287671,0.128767123287671,0.0317132670294615,0.00564756810113698,0.0165809720397823,0.00213508407087607,4.77973035772161,4.77973035772161,4.15627835692726,4.15627835692726,4.47276270164981,4.47276270164981,4.27909180922659,4.27909180922659,4.10543989327915,4.10543989327915,4.24468071615782,4.24468071615782,4.45430321164496,4.45430321164496,0,0,0,0,0,0,0,4.40410936468551,4.40410936468551,4.58554516460115,4.58554516460115,14.9511986328686,14.9511986328686,13.394542396132,13.394542396132,19.0943331859135,19.0943331859135,18.3404182329572,18.3404182329572,NA,23.1854380694622,NA,23.0958456433845,16.0313835019228,16.0313835019228,NA,15.7753336071533,NA,14.0010284127127,NA,16.4140363272316,2.466,2.466,1.977,1.977,-10,-10,-10,-10,0.0017574,0.0011763,0.0083425545762287,0.00501684650488335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"AFG",700,1963,"Afghanistan","AFG_1963",1,1,NA,0,NA,NA,1,0,NA,NA,0,0,"John Milton Steeves","1962-03-20","1966-07-21",1,NA,NA,NA,NA,NA,"John Milton Steeves","1962-03-20","1966-07-21",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,9543205,NA,-10,5071839,108377839,108377839,2.421,NA,14,17,84.9962088072324,103.209682123068,0,0.0016639,0.00800080782241371,0,0,0,0,0,0,0,0,0,0,9543205,13294497518.8804,-10,84.9962088072324,103.209682123068,2.421,5071839,108377839,13.2984200334797,0,4.45430321164496,4.64640504365008,4.45430321164496,4.64640504365008,NA,16.071339940883,23.3106160661833,16.071339940883,15.4392142288603,18.5011341980273,15.4392142288603,18.5011341980273,0,0,0,0,1,NA,0,0,4,0,0,1,0,0.128767123287671,0,0,0.128767123287671,0.167123287671233,0,0,0.167123287671233,0.0165809720397823,0.00213508407087607,0.0279301932820417,0.00466778572658779,3.78262701843114,3.78262701843114,4.77973035772161,4.77973035772161,4.15627835692726,4.15627835692726,4.47276270164981,4.47276270164981,4.27909180922659,4.27909180922659,4.10543989327915,4.10543989327915,4.8833327642136,4.8833327642136,0,0,0,0,0,0,0,4.59641882969059,4.59641882969059,4.75027025331473,4.75027025331473,15.6341991612931,15.6341991612931,14.7556275760569,14.7556275760569,19.3079901901102,19.3079901901102,18.9677546213339,18.9677546213339,NA,23.2699221608717,NA,23.0022000793384,16.051041007037,16.051041007037,NA,15.8942023225651,NA,13.8468885944583,NA,19.8563938136615,2.572,2.572,2.288,2.288,-10,-10,-10,-10,0.0016605,0.0012464,0.00791048032646155,0.00544363388766915,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"AFG",700,1964,"Afghanistan","AFG_1964",1,1,NA,0,NA,NA,1,0,NA,NA,0,0,"John Milton Steeves","1962-03-20","1966-07-21",1,NA,NA,NA,NA,NA,"John Milton Steeves","1962-03-20","1966-07-21",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,NA,9744781,NA,-7,926360,252042145,252042145,2.421,NA,21.9,11,131.070089696412,65.8342916283349,0,0.001644,0.00809921638603506,0,0,0,0,0,0,0,0,0,0,9744781,17177062878.2805,-7,131.070089696412,65.8342916283349,2.421,926360,252042145,15.2510640886983,0,4.8833327642136,4.20221629655429,4.8833327642136,4.20221629655429,NA,16.0922424176082,23.5668407772036,16.0922424176082,13.7390192864691,19.3451068775234,13.7390192864691,19.3451068775234,0,0,0,0,1,NA,0,1,0,0,0,2,0,0,0.128767123287671,0,0.128767123287671,0,0.167123287671233,0,0.167123287671233,0.0165809720397823,0.00213508407087607,0.0279301932820417,0.00466778572658779,4.45430321164496,4.45430321164496,3.78262701843114,3.78262701843114,4.77973035772161,4.77973035772161,4.15627835692726,4.15627835692726,4.47276270164981,4.47276270164981,4.27909180922659,4.27909180922659,4.7775719245741,4.7775719245741,0,0,0,0,0,0,0,4.64640504365008,4.64640504365008,4.93615404426048,4.93615404426048,15.4392142288603,15.4392142288603,14.0485996876451,14.0485996876451,18.5011341980273,18.5011341980273,18.0094119369173,18.0094119369173,NA,23.3106160661833,NA,22.8394681932772,16.071339940883,16.071339940883,16.0123987453944,16.0123987453944,NA,13.2984200334797,NA,14.3428820149693,2.421,2.421,2.444,2.444,-10,-10,-10,-10,0.0016639,0.0013066,0.00800080782241371,0.00606469065250427,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"AFG",700,1965,"Afghanistan","AFG_1965",1,1,NA,0,NA,NA,1,0,NA,NA,0,0,"John Milton Steeves","1962-03-20","1966-07-21",1,NA,NA,NA,NA,NA,"John Milton Steeves","1962-03-20","1966-07-21",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,NA,9956320,NA,-7,396089,201000538,201000538,2.564,NA,20,13,117.815506508206,76.5800792303339,0,0.0015451,0.00766650243054573,0,0,0,0,0,0,0,0,0,0,9956320,7847515929.85281,-7,117.815506508206,76.5800792303339,2.564,396089,201000538,13.5708582795475,0,4.7775719245741,4.35131068328397,4.7775719245741,4.35131068328397,NA,16.1137180833754,22.7834628766054,16.1137180833754,12.8893967371414,19.1188181476118,12.8893967371414,19.1188181476118,1,1,0,0,1,NA,0,0,1,0,0,3,0,0,0,0.128767123287671,0.128767123287671,0,0,0.167123287671233,0.167123287671233,0.0165809720397823,0.00213508407087607,0.0279301932820417,0.00466778572658779,4.8833327642136,4.8833327642136,4.45430321164496,4.45430321164496,3.78262701843114,3.78262701843114,4.77973035772161,4.77973035772161,4.15627835692726,4.15627835692726,4.47276270164981,4.47276270164981,4.40309473970344,4.40309473970344,0,0,0,0,0,0,0,4.20221629655429,4.20221629655429,4.40410936468551,4.40410936468551,13.7390192864691,13.7390192864691,14.9511986328686,14.9511986328686,19.3451068775234,19.3451068775234,19.0943331859135,19.0943331859135,NA,23.5668407772036,NA,23.1854380694622,16.0922424176082,16.0922424176082,16.0313835019228,16.0313835019228,NA,15.2510640886983,NA,14.0010284127127,2.421,2.421,2.466,2.466,-7,-7,-10,-10,0.001644,0.0017574,0.00809921638603506,0.0083425545762287,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,1,0
"AFG",700,1966,"Afghanistan","AFG_1966",1,1,NA,0,NA,NA,1,0,NA,NA,1,0,"John Milton Steeves","1962-03-20","1966-07-21",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.449315068493151,"AFG1966",NA,0,0,NA,NA,NA,"1966-07-21",NA,"1967-02-19",NA,0,NA,NA,NA,213,NA,0,0,0,3,0,3,NA,10174836,NA,-7,677109,192715640,192715640,2.585,NA,14,15,80.7033283491167,86.467851802625,0,0.0014699,0.00704415355382555,0,0,0,0,0,0,0,0,0,0,10174836,16786798728.1109,-7,80.7033283491167,86.467851802625,2.585,677109,192715640,16.0535623335285,1,4.40309473970344,4.47127131788272,4.40309473970344,4.47127131788272,NA,16.1354281712269,23.5438586244674,16.1354281712269,13.4255890202319,19.0767262977087,13.4255890202319,19.0767262977087,0,0,0,0,1,NA,0,0,2,0,0,4,0,0.167123287671233,0,0,0.167123287671233,0,0,0,0,0.0279301932820417,0.00466778572658779,0,0,4.7775719245741,4.7775719245741,4.8833327642136,4.8833327642136,4.45430321164496,4.45430321164496,3.78262701843114,3.78262701843114,4.77973035772161,4.77973035772161,4.15627835692726,4.15627835692726,4.60757924945926,4.60757924945926,0,0,0,0,0,0,0,4.35131068328397,4.35131068328397,4.59641882969059,4.59641882969059,12.8893967371414,12.8893967371414,15.6341991612931,15.6341991612931,19.1188181476118,19.1188181476118,19.3079901901102,19.3079901901102,NA,22.7834628766054,NA,23.2699221608717,16.1137180833754,16.1137180833754,16.051041007037,16.051041007037,NA,13.5708582795475,NA,13.8468885944583,2.564,2.564,2.572,2.572,-7,-7,-10,-10,0.0015451,0.0016605,0.00766650243054573,0.00791048032646155,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"AFG",700,1967,"Afghanistan","AFG_1967",1,1,NA,0,NA,NA,1,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robert Gerhard Neumann","1967-02-19","1973-09-10",0,0.136986301369863,"AFG1966",NA,0,0,NA,NA,NA,"1966-07-21",NA,"1967-02-19",NA,0,NA,NA,NA,213,NA,0,1,0,0,0,0,NA,10399926,NA,-7,909750,183634645,183634645,2.821,NA,17.745001,5,99.2411967596175,27.9631420588867,0,0.0014258,0.00683679208777256,0,0,0,0,0,0,0,0,0,0,10399926,9698274524.51599,-7,99.2411967596175,27.9631420588867,2.821,909750,183634645,16.3792896727425,1,4.60757924945926,3.36602405814071,4.60757924945926,3.36602405814071,NA,16.1573092487017,22.995213822562,16.1573092487017,13.7209262146769,19.0284587220521,13.7209262146769,19.0284587220521,0,0,0,0,1,NA,0,0,3,0,1,0,0,0,0.167123287671233,0,0.167123287671233,0.449315068493151,0,0,0.449315068493151,0.0279301932820417,0.00466778572658779,0.201884030775005,0.0907095371153448,4.40309473970344,4.40309473970344,4.7775719245741,4.7775719245741,4.8833327642136,4.8833327642136,4.45430321164496,4.45430321164496,3.78262701843114,3.78262701843114,4.77973035772161,4.77973035772161,4.05586696630086,4.05586696630086,0,0,0,0,0,0,0,4.47127131788272,4.47127131788272,4.64640504365008,4.64640504365008,13.4255890202319,13.4255890202319,15.4392142288603,15.4392142288603,19.0767262977087,19.0767262977087,18.5011341980273,18.5011341980273,NA,23.5438586244674,NA,23.3106160661833,16.1354281712269,16.1354281712269,16.071339940883,16.071339940883,NA,16.0535623335285,NA,13.2984200334797,2.585,2.585,2.421,2.421,-7,-7,-10,-10,0.0014699,0.0016639,0.00704415355382555,0.00800080782241371,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"AFG",700,1968,"Afghanistan","AFG_1968",1,1,NA,0,NA,NA,1,0,NA,NA,0,0,"Robert Gerhard Neumann","1967-02-19","1973-09-10",0,NA,NA,NA,NA,NA,"Robert Gerhard Neumann","1967-02-19","1973-09-10",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,NA,10637063,NA,-7,1042530,89049407,89049407,2.444,NA,10.524,12,56.7351957737725,64.6923555003108,0,0.0013737,0.00675329221151762,0,0,0,0,0,0,0,0,0,0,10637063,21639979018.9835,-7,56.7351957737725,64.6923555003108,2.444,1042530,89049407,15.9215697550921,0,4.05586696630086,4.18498256408326,4.05586696630086,4.18498256408326,NA,16.1798549699388,23.7978083213763,16.1798549699388,13.857161968424,18.3047019197273,13.857161968424,18.3047019197273,0,0,0,0,1,NA,0,1,0,0,0,1,0,0,0,0.167123287671233,0.167123287671233,0.136986301369863,0.449315068493151,0,0.586301369863014,0.0279301932820417,0.00466778572658779,0.343749296303247,0.201540683312041,4.60757924945926,4.60757924945926,4.40309473970344,4.40309473970344,4.7775719245741,4.7775719245741,4.8833327642136,4.8833327642136,4.45430321164496,4.45430321164496,3.78262701843114,3.78262701843114,3.61081117461282,3.61081117461282,0,0,0,0,0,0,0,3.36602405814071,3.36602405814071,4.20221629655429,4.20221629655429,13.7209262146769,13.7209262146769,13.7390192864691,13.7390192864691,19.0284587220521,19.0284587220521,19.3451068775234,19.3451068775234,NA,22.995213822562,NA,23.5668407772036,16.1573092487017,16.1573092487017,16.0922424176082,16.0922424176082,NA,16.3792896727425,NA,15.2510640886983,2.821,2.821,2.421,2.421,-7,-7,-7,-7,0.0014258,0.001644,0.00683679208777256,0.00809921638603506,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,1,0,0
"AFG",700,1969,"Afghanistan","AFG_1969",1,1,NA,0,NA,NA,1,0,NA,NA,0,0,"Robert Gerhard Neumann","1967-02-19","1973-09-10",0,NA,NA,NA,NA,NA,"Robert Gerhard Neumann","1967-02-19","1973-09-10",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,NA,10893776,NA,-7,1412036,79946151,79946151,2.362,NA,6.9809999,8,35.9960509036013,41.2503096051915,0,0.0013632,0.00688655969058978,0,0,0,0,0,0,0,0,0,0,10893776,12632099647.9146,-7,35.9960509036013,41.2503096051915,2.362,1412036,79946151,17.1482835527634,0,3.61081117461282,3.74361168170986,3.61081117461282,3.74361168170986,NA,16.2037021749372,23.2595070023989,16.2037021749372,14.160543900658,18.1968638660046,14.160543900658,18.1968638660046,0,0,0,0,NA,NA,0,0,1,0,0,2,0,0,0,0,0,0,0.136986301369863,0.449315068493151,0.586301369863014,0,0,0.343749296303247,0.201540683312041,4.05586696630086,4.05586696630086,4.60757924945926,4.60757924945926,4.40309473970344,4.40309473970344,4.7775719245741,4.7775719245741,4.8833327642136,4.8833327642136,4.45430321164496,4.45430321164496,2.90820576503653,2.90820576503653,0,0,0,0,0,0,0,4.18498256408326,4.18498256408326,4.35131068328397,4.35131068328397,13.857161968424,13.857161968424,12.8893967371414,12.8893967371414,18.3047019197273,18.3047019197273,19.1188181476118,19.1188181476118,NA,23.7978083213763,NA,22.7834628766054,16.1798549699388,16.1798549699388,16.1137180833754,16.1137180833754,NA,15.9215697550921,NA,13.5708582795475,2.444,2.444,2.564,2.564,-7,-7,-7,-7,0.0013737,0.0015451,0.00675329221151762,0.00766650243054573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
